
Tenant: Italian Trattoria,,Product Summary Report
,,Report as of 07/22/2026

"Product name","Item count","Category","Available in Recipe","Available in Inventory","Product unit","Last purchased","Cost","Last purchased vendor","Last purchased location"
"Red Wine, FEUDI D’ALBE BOVE MONTEPULCIANO D’ABRUZZO 2020",2,Wine,true,true,each,12/02/2025 00:00:00,13,Fifth Ave House Vendor,IT - 390 Fifth Ave
"Liqueur, Sambuca Molinari",1,Liquor,false,false,liter,12/02/2025 00:00:00,46.65,Fifth Ave House Vendor,IT - 390 Fifth Ave
"Baked Goods, Cheese Danish",1,Baked Goods,false,false,each,12/04/2025 00:00:00,1.5,La Provence Miami - BILLPAY,IT - 1656 Collins Ave
"Dairy, Cheese Danish Blue Wheel",1,Dairy,false,false,lb,12/04/2025 00:00:00,0.8,Driscoll Foods,IT - 390 Fifth Ave
"Baked Goods, Croissant Roll",1,Food - other,true,true,each,12/04/2025 00:00:00,1.34,ACE ENDICO,IT - 390 Fifth Ave
"Dairy, Cherry Greek Yogurt",1,Food - other,false,true,lb,12/04/2025 00:00:00,4.6,ACE ENDICO,IT - 390 Fifth Ave
"Wine Red, La Vis Cabernet Trentino 2023",2,Wine,false,true,each,12/05/2025 00:00:00,12,Southern Glazer,IT - 1014 Lincoln Rd
"Dry Goods, Tahini Paste",2,Food - other,true,true,lb,12/06/2025 00:00:00,6.86,ACE ENDICO,IT - 390 Fifth Ave
"Baked Goods, Schiacciata Toscana",1,Dry Goods,false,true,lb,12/10/2025 00:00:00,6.8,SOGNO TOSCANO,IT - 390 Fifth Ave
"Baked Goods, Sorriso Pinsa",1,Dry Goods,false,true,each,12/10/2025 00:00:00,3.67,SOGNO TOSCANO,IT - 390 Fifth Ave
"Produce, Jumbo Red Onion",1,Produce,true,false,lb,12/15/2025 00:00:00,0.75,PRO EX INTERNATIONAL,IT - 1656 Collins Ave
"Produce, Kiwi Clamshells",1,Produce,false,false,lb,12/15/2025 00:00:00,3.41,PRO EX INTERNATIONAL,IT - 1656 Collins Ave
"Liqueur, Nikka Single Malt Yoichi",1,Liquor,false,false,liter,12/19/2025 00:00:00,172.8,Southern Glazer,IT - 1656 Collins Ave
"Baked Goods, Fiasconaro Panettone Cioccolato",1,Baked Goods,false,false,lb,12/19/2025 00:00:00,14.29,VIANDER INC,IT - 1656 Collins Ave
"Liquor, Gin Hendricks 1L",1,Liquor,false,false,liter,12/23/2025 00:00:00,499,Fifth Ave House Vendor,IT - 390 Fifth Ave
"Gin, Canaima",1,Liquor,false,false,liter,12/23/2025 00:00:00,29.99,Fifth Ave House Vendor,IT - 390 Fifth Ave
"Protein, Hot Calabrese",1,Food - other,false,true,lb,12/27/2025 00:00:00,1.12,ACE ENDICO,IT - 390 Fifth Ave
"Baked Goods, Multigrain Demi Baguette",1,Baked Goods,false,true,each,12/30/2025 00:00:00,1.05,La Provence Miami - BILLPAY,IT - 1656 Collins Ave
"Dry Goods, Cherry Tomato Semi Dried",1,Food - other,false,true,lb,12/30/2025 00:00:00,6.85,ACE ENDICO,IT - 390 Fifth Ave
"Liqueur, Grappa Vendemmia Nonino",3,Liquor,false,true,each,12/30/2025 00:00:00,39.2,Seventh Ave House Vendor,IT - 530 Seventh Ave
"Baked Goods, Rustique Baguette",1,Baked Goods,false,true,each,12/30/2025 00:00:00,1.7,La Provence Miami - BILLPAY,IT - 1656 Collins Ave
"Rum, Cachaca Pitu",2,Liquor,false,false,liter,12/30/2025 00:00:00,27.95,Seventh Ave House Vendor,IT - 530 Seventh Ave
"Wine Rose, La Gioisa Prosecco Brut",1,Wine,false,false,each,12/30/2025 00:00:00,0.65,Seventh Ave House Vendor,IT - 530 Seventh Ave
"Dairy, Milk 4-1",1,Food - other,false,false,liter,12/31/2025 00:00:00,0.26,CGN Produce LLC ,IT - 1656 Collins Ave
"Dry Goods, Equal Sweetener Packets",1,Disposable,false,false,each,01/01/2026 00:00:00,0.02,I Halper Paper and Supplies Inc,IT - 390 Fifth Ave
"Disposable, Ice Cream Cup 4oz",1,Disposable,false,true,lb,01/01/2026 00:00:00,279.8,I Halper Paper and Supplies Inc,IT - 1014 Lincoln Rd
"Cleaning Supplies, SUPP Mop Handle",1,Disposable,false,true,each,01/01/2026 00:00:00,16.9,I Halper Paper and Supplies Inc,IT - 390 Fifth Ave
"Disposable, Hot Cup LOGO 16oz",1,Disposable,false,true,each,01/01/2026 00:00:00,0.01,I Halper Paper and Supplies Inc,IT - 390 Fifth Ave
"Disposable, Hot Cup LOGO 12oz",1,Disposable,false,true,each,01/01/2026 00:00:00,0.01,I Halper Paper and Supplies Inc,IT - 530 Seventh Ave
"Cleaning Supplies, SUPP 2/CT #37 Peroxide Disinfectant Cleaner",1,Disposable,false,false,each,01/01/2026 00:00:00,108.8,IMPERIAL DADE,IT - 1656 Collins Ave
"Disposable, Vacuum Bag",1,Disposable,false,false,each,01/01/2026 00:00:00,0.1,I Halper Paper and Supplies Inc,IT - 1014 Lincoln Rd
