
Tenant: Italian Trattoria,,Item Library
,,Report as of 07/22/2026

"Location Name","Vendor Name","Item Code","Item Description","UOM","Item UOM","Pack/Size/Unit","Weighable","Category","GL Code","Contracted Price ($)","Last Purchased Date","Last Purchased Price ($)","Close Watch","Product(s)"
IT - 1656 Collins Ave,I Halper Paper and Supplies Inc,FL-3198FLS,12 Oz / 16 Oz Lid Plastic Cup,cs,each,1000 1 ea,false,Disposable,Disposable,0,07/12/2026,31.5,false,"Disposable, Coffee Lid for 12oz CUP HOT"
IT - 390 Fifth Ave,I Halper Paper and Supplies Inc,FL-3198FLS,12 Oz / 16 Oz Lid Plastic Cup,cs,each,1000 1 ea,false,Disposable,Disposable,0,06/12/2026,31.5,false,"Disposable, Coffee Lid for 12oz CUP HOT"
IT - 1014 Lincoln Rd,SimplyPak,245048_XC14975384,12oz Clear Cup PET 92mm Rim-,cs,ea,10 100 ct,false,Disposable,Disposable,0,03/10/2026,59.36,false,"Disposable, Plastic Cup 12Oz No Logo OJ"
IT - 1656 Collins Ave,SimplyPak,245048_XC15035231,12oz Clear Cup PET 92mm Rim-1000 Pcs.,cs,ea,10 100 ct,false,Disposable,Disposable,0,03/17/2026,59.36,false,"Disposable, Plastic Cup 12Oz No Logo OJ"
IT - 1014 Lincoln Rd,SimplyPak,245048_XC15035231,12oz Clear Cup PET 92mm Rim-1000 Pcs.,cs,ea,10 100 ct,false,Disposable,Disposable,0,05/12/2026,59.36,false,"Disposable, Plastic Cup 12Oz No Logo OJ"
IT - 1656 Collins Ave,SimplyPak,12ozDWITRA-Custom,12 oz Double wall hot cup| 12Oz  DWITRA 500 pcs,cs,,1 500 ct,false,Disposable,Disposable,0,01/01/2026,44.78,false,"Disposables, Paper Hot Cup LOGO 12oz"
IT - 1014 Lincoln Rd,I Halper Paper and Supplies Inc,MC-12DW-ITTRATTORIA,12 Oz Hot Cup Logo,cs,ea,500 1 ea,false,Disposable,Disposable,0,01/01/2026,0.01,false,"Disposable, Hot Cup LOGO 12oz"
IT - 390 Fifth Ave,I Halper Paper and Supplies Inc,MC-12DW-ITTRATTORIA,12 Oz Hot Cup Logo,cs,ea,500 1 ea,false,Disposable,Disposable,0,01/01/2026,0.01,false,"Disposable, Hot Cup LOGO 12oz"
IT - 530 Seventh Ave,I Halper Paper and Supplies Inc,MC-12DW-ITTRATTORIA,12 Oz Hot Cup Logo,cs,ea,500 1 ea,false,Disposable,Disposable,0,01/01/2026,0.01,false,"Disposable, Hot Cup LOGO 12oz"
IT - 1656 Collins Ave,I Halper Paper and Supplies Inc,MC-12DW-ITTRATTORIA,12 Oz Hot Cup Logo,cs,ea,500 1 ea,false,Disposable,Disposable,0,01/01/2026,0.01,false,"Disposable, Hot Cup LOGO 12oz"
